Election,Black Preferred,Latino-Preferred
18G_Governor,"{'AbbottR_18G_Governor':[0.1519757,0.1400954],'TippettsL_18G_Governor':[0.01466178,0.01386211],'ValdezD_18G_Governor':[0.8363774,0.1489436]}","{'AbbottR_18G_Governor':[0.3212404,0.2091227],'TippettsL_18G_Governor':[0.01935548,0.01775902],'ValdezD_18G_Governor':[0.6609079,0.2151469]}"
18G_Land Comm,"{'BushR_18G_Land Comm':[0.1171286,0.1116618],'PinaL_18G_Land Comm':[0.01856185,0.01537453],'SuazoD_18G_Land Comm':[0.8492996,0.1379013]}","{'BushR_18G_Land Comm':[0.2716236,0.1882208],'PinaL_18G_Land Comm':[0.03656072,0.02969241],'SuazoD_18G_Land Comm':[0.678569,0.2092222]}"
18G_Lt. Governor,"{'CollierD_18G_Lt. Governor':[0.8856004,0.111136],'McKennonL_18G_Lt. Governor':[0.004069249,0.0042189],'PatrickR_18G_Lt. Governor':[0.1025277,0.1014614]}","{'CollierD_18G_Lt. Governor':[0.7266054,0.1776633],'McKennonL_18G_Lt. Governor':[0.02098204,0.02023608],'PatrickR_18G_Lt. Governor':[0.2460042,0.1700339]}"
18G_U.S. Sen,"{'CruzR_18G_U.S. Sen':[0.1340661,0.125613],'DikemanL_18G_U.S. Sen':[0.0394518,0.04746379],'O'RourkeD_18G_U.S. Sen':[0.8596769,0.1304684]}","{'CruzR_18G_U.S. Sen':[0.273679,0.2054999],'DikemanL_18G_U.S. Sen':[0.01482096,0.01454771],'O'RourkeD_18G_U.S. Sen':[0.7155437,0.2110823]}"
18P_Comptroller,"{'ChevalierD_18P_Comptroller':[0.4502994,0.1050262],'MahoneyD_18P_Comptroller':[0.5495792,0.1051391]}","{'ChevalierD_18P_Comptroller':[0.3826143,0.1013826],'MahoneyD_18P_Comptroller':[0.6168443,0.1019408]}"
18P_Governor,"{'ClarkD_18P_Governor':[0.001979056,0.002876385],'DavisD_18P_Governor':[0.3073533,0.2512789],'MumbachD_18P_Governor':[0.0000733,0.0002617],'OceguedaD_18P_Governor':[0.00136293,0.001579586],'PayneD_18P_Governor':[0.01493101,0.01739849],'ValdezD_18P_Governor':[0.4163379,0.2816059],'WakelyD_18P_Governor':[0.001036404,0.001225069],'WhiteD_18P_Governor':[0.2379199,0.1770801],'YarbroughD_18P_Governor':[0.05182658,0.05533774]}","{'ClarkD_18P_Governor':[0.009695947,0.01386144],'DavisD_18P_Governor':[0.0213141,0.02350733],'MumbachD_18P_Governor':[0.006717735,0.01041201],'OceguedaD_18P_Governor':[0.06343034,0.0655638],'PayneD_18P_Governor':[0.03085071,0.03256443],'ValdezD_18P_Governor':[0.5681315,0.1759314],'WakelyD_18P_Governor':[0.02044072,0.02350277],'WhiteD_18P_Governor':[0.1072664,0.09245245],'YarbroughD_18P_Governor':[0.04693206,0.04765214]}"
18P_Land Comm,"{'MorganD_18P_Land Comm':[0.5079097,0.1079478],'SuazoD_18P_Land Comm':[0.4925535,0.1092131]}","{'MorganD_18P_Land Comm':[0.1572224,0.09574589],'SuazoD_18P_Land Comm':[0.84331,0.09553523]}"
18P_Lt. Governor,"{'CollierD_18P_Lt. Governor':[0.2710188,0.07979845],'CooperD_18P_Lt. Governor':[0.7285394,0.07938676]}","{'CollierD_18P_Lt. Governor':[0.4219498,0.0934864],'CooperD_18P_Lt. Governor':[0.5786792,0.09356536]}"
18P_U.S. Sen,"{'HernandezD_18P_U.S. Sen':[0.314716,0.185031],'KimbroughD_18P_U.S. Sen':[0.4947969,0.2266026],'O'RourkeD_18P_U.S. Sen':[0.1844969,0.1609642]}","{'HernandezD_18P_U.S. Sen':[0.4249161,0.1899814],'KimbroughD_18P_U.S. Sen':[0.08119808,0.06366086],'O'RourkeD_18P_U.S. Sen':[0.4861159,0.2166607]}"
18R_Governor,"{'ValdezD_18R_Governor':[0.4350958,0.280402],'WhiteD_18R_Governor':[0.5633353,0.2806715]}","{'ValdezD_18R_Governor':[0.7279962,0.162454],'WhiteD_18R_Governor':[0.2724747,0.1625234]}"
12G_RR Comm 1,"	{'CraddickR_12G_RR Comm 1':[0.09770856,0.10231],'HenryD_12G_RR Comm 1':[0.8956646,0.1123501]}","	{'CraddickR_12G_RR Comm 1':[0.2506739,0.1988745],'HenryD_12G_RR Comm 1':[0.7469868,0.2032911]}"
12P_President,"	{'ElyD_12P_President':[0.003891728,0.0177195],'WolfeD_12P_President':[0.007764354,0.036378],RichardsonD_12P_President':[0.00484117,0.02160136],'ObamaD_12P_President':[0.8715522,0.2037808]}","	{'ElyD_12P_President':[0.00714631,0.03400412],'WolfeD_12P_President':[0.01649012,0.04689651]},'RichardsonD_12P_President':[0.01299716,0.03705941],'ObamaD_12P_President':[0.8406693,0.2321594]}"
14G_RR Comm 3,"	{'SittonR_14G_RR Comm 3':[0.145546,0.1450238],'BrownD_14G_RR Comm 3':[0.8341406,0.1636836]}","	{'SittonR_14G_RR Comm 3':[0.3172512,0.2360825],'BrownD_14G_RR Comm 3':[0.6763002,0.2423495]}"
14P_RR Comm 3,"	{'HenryD_14P_RR Comm 3':[0.168347,0.1632924],'BrownD_14P_RR Comm 3':[0.7679453,0.2226847]}","	{'HenryD_14P_RR Comm 3':[0.3432945,0.1694322],'BrownD_14P_RR Comm 3':[0.6056139,0.2052077]}"
16G_RR Comm 1,"	{'YarbroughD_16G_RR Comm 1':[0.850922,0.1460863],'ChristianR_16G_RR Comm 1':[0.1408728,0.138334]}","	{'YarbroughD_16G_RR Comm 1':[0.7247214,0.2170334],'ChristianR_16G_RR Comm 1':[0.2716408,0.2131596]}"
16P_RR Comm 1,"	{'GarrettD_16P_RR Comm 1':[0.2576413,0.1503196],'YarbroughD_16P_RR Comm 1':[0.4091451,0.1314581],'BurnamD_16P_RR Comm 1':[0.1031588,0.09938133]}","	{'GarrettD_16P_RR Comm 1':[0.3449865,0.129557],'YarbroughD_16P_RR Comm 1':[0.4047858,0.1439176],'BurnamD_16P_RR Comm 1':[0.128545,0.1175988]}"
16R_RR Comm 1,"	{'GarrettD_16R_RR Comm 1':[0.3905038,0.2585679],'YarbroughD_16R_RR Comm 1':[0.4960378,0.2808393]}","	{'GarrettD_16R_RR Comm 1':[0.3865282,0.2662657],'YarbroughD_16R_RR Comm 1':[0.4781557,0.2886124]}"
18G_RR Comm 1,"	{'CraddickR_18G_RR Comm 1':[0.1566065,0.146951],'McAllenD_18G_RR Comm 1':[0.8375258,0.1528871]}","	{'CraddickR_18G_RR Comm 1':[0.2901533,0.2244918],'McAllenD_18G_RR Comm 1':[0.707091,0.2273415]}"
18P_RR Comm 1,"	{'McAllenD_18P_RR Comm 1':[0.3111686,0.2411382],'SpellmonD_18P_RR Comm 1':[0.6572992,0.2561929]}","	{'McAllenD_18P_RR Comm 1':[0.7274114,0.228286],'SpellmonD_18P_RR Comm 1':[0.2789816,0.1934929]}"
