,Index,GEOID,Seed1,Seed2,Seed3
367,2758,1150011,10,19,30
368,2759,1150012,10,19,30
369,2760,1150013,10,19,30
370,2761,1150017,10,19,30
371,6902,3630001,10,21,32
372,6903,3630002,10,21,32
373,6904,3630003,10,21,32
374,6905,3630004,10,21,32
375,6906,3630005,10,21,32
376,6907,3630006,10,21,32
377,6908,3630007,10,21,32
378,6909,3630008,10,21,32
379,6910,3630009,10,21,32
380,6911,3630011,10,21,32
381,6912,3630012,10,7,32
382,6913,3630013,10,21,32
383,6914,3630014,10,21,32
384,6915,3630015,10,21,32
385,6916,3630016,10,21,32
386,6917,3630017,10,7,32
387,6918,3630018,10,21,32
388,6919,3630020,10,21,32
389,6920,3630021,10,7,32
390,6921,3630022,10,21,32
391,6922,3630023,10,7,32
392,6923,3630024,10,7,32
393,6924,3630025,10,7,32
394,6925,3630026,10,7,32
395,6926,3630027,10,21,32
396,6927,3630028,10,21,32
397,6928,3630029,10,7,32
398,6929,3630030,10,7,32
399,3003,1330001,10,21,9
400,3004,1330002,10,21,9
401,3005,1330003,10,21,32
402,3006,1330004,10,21,9
403,3007,1330005,10,21,9
404,3008,1330006,10,21,9
405,3009,1330007,10,21,9
406,3010,1330008,10,21,9
407,3011,1330009,10,21,9
408,3012,1350101,10,19,30
409,3013,1350102,10,19,30
410,3014,1350103,10,19,30
411,3015,1350104,10,19,30
412,3016,1350106,10,19,30
413,3017,1350107,10,19,30
414,3018,1350108,10,19,30
415,3019,1350109,10,19,30
416,3020,1350110,10,19,30
417,3021,1350111,10,19,30
418,3022,1350201,10,19,30
419,3023,1350202,10,19,30
420,3024,1350203,10,19,30
421,3025,1350204,10,19,30
422,3026,1350205,10,19,30
423,3027,1350206,10,19,30
424,3028,1350207,10,19,30
425,3029,1350208,10,19,30
426,3030,1350209,10,19,30
427,3031,1350301,10,19,30
428,3032,1350302,10,19,30
429,3033,1350303,10,19,30
430,3034,1350304,10,19,30
431,3035,1350305,10,19,30
432,3036,1350306,10,19,30
433,3037,1350307,10,19,30
434,3038,1350308,10,19,30
435,3039,1350309,10,19,30
436,3040,1350311,10,19,30
437,3041,1350312,10,19,30
438,3042,1350401,10,19,30
439,3043,1350402,10,19,30
440,3044,1350403,10,19,30
441,3045,1350404,10,19,9
442,3046,1350405,10,19,30
443,3047,1350406,10,19,30
444,3048,1350407,10,19,30
445,3049,1350408,10,19,30
446,3050,1350409,10,19,30
447,3051,1350412,10,19,30
448,7185,3990001,10,21,9
449,7186,3990002,10,21,9
450,7187,3990003,10,21,9
451,7188,3990004A,10,21,9
452,7189,3990004B,10,21,9
453,7190,3990005,10,21,9
454,7191,3990006,10,21,9
455,7192,3990007,10,21,9
456,7193,3990008,10,21,9
457,7194,3990009,10,21,9
458,7195,3990010,10,21,9
459,7274,4110001,10,21,33
460,7275,411002A,10,21,9
461,7276,411002B,10,7,33
462,7277,411003A,10,1,33
463,7278,411003B,10,7,33
464,7279,411004A,10,7,33
465,7280,411004B,10,7,33
466,1211,490101,10,21,9
467,1212,490105,10,21,9
468,1213,490109,10,21,9
469,1214,490113,10,21,9
470,1215,490202,10,21,9
471,1216,490204,10,21,9
472,1217,490212,10,21,9
473,1218,490214,10,21,9
474,1219,490215,10,21,9
475,1220,490303,10,21,9
476,1221,490306,10,21,9
477,1222,490307,10,21,9
478,1223,490308,10,21,9
479,1224,490316,10,21,9
480,1225,490318,10,21,9
481,1226,490410,10,21,9
482,1227,490411,10,21,9
483,1228,490417,10,21,9
484,3297,1430011,10,7,9
485,3301,1430020,10,7,9
486,3302,1430021,10,7,9
487,3303,1430023,10,7,9
488,3305,1430025,10,21,9
489,3306,1430030,10,7,32
490,3308,1430032,10,7,6
491,3309,1430033,10,7,9
492,3310,1430034,10,7,6
493,3312,1430041,10,21,32
494,3313,1430044,10,21,32
495,3315,1430046,10,21,9
496,7412,4291-11,10,21,9
497,7413,4292-11,10,21,9
498,7417,4293-11,10,21,9
499,7419,4294-11,10,21,9
500,7421,4295-11,10,21,9
501,7422,4310001A,10,21,9
502,7423,4310001B,10,21,30
503,7424,4310002A,10,21,9
504,7425,4310002B,10,21,30
505,7426,4310002C,10,21,30
506,7427,4310002D,10,21,30
507,7428,4310003,10,21,9
508,7429,4310004,10,21,30
509,1327,590001,10,21,9
510,1328,590002,10,21,9
511,1329,590003,10,21,9
512,1330,590004,10,21,9
513,5427,2210001,10,7,6
514,5428,2210002,10,7,6
515,5429,2210003,10,7,6
516,5430,2210004,10,7,6
517,1331,590005,10,21,9
518,5432,2210007,10,21,6
519,1332,590006,10,21,9
520,1333,590007,10,21,9
521,5433,2210008,10,7,6
522,5434,2210009,10,7,6
523,5435,2210010,10,7,6
524,5436,2210011,10,7,6
525,5437,2210012,10,7,6
526,5438,2210013,10,7,6
527,5439,2210014,10,7,6
528,5440,2210015,10,7,6
529,5441,2210016,10,7,6
530,5561,2350100,10,21,9
531,5562,2350200,10,21,9
532,5563,2350300,10,19,9
533,5564,2350400,10,21,9
534,1539,810001,10,21,9
535,1540,810002,10,21,9
536,1541,810003,10,21,9
537,1542,810004,10,21,9
538,1543,830001,10,21,9
539,1544,830002,10,21,9
540,1545,830003,10,21,9
541,1546,830004,10,21,9
542,1547,83002E,10,21,9
543,3708,1730001,10,19,9
544,3709,1730002,10,21,9
545,3710,1730003,10,21,30
546,3711,1730004,10,21,9
547,5876,2670001,10,21,33
548,5877,2670002,10,21,33
549,5878,2670003,10,21,9
550,5879,2670004,10,21,33
551,5880,2670006,10,21,33
552,5881,2670007,10,21,33
553,5882,2670009,10,21,33
554,1829,930001,10,7,9
555,1830,930002,10,7,9
556,1831,930004,10,21,9
557,1832,930005,10,7,9
558,1833,930006,10,7,9
559,1834,930007,10,7,9
560,1835,930009,10,7,9
561,1836,930010,10,7,9
562,1837,930011,10,7,9
563,1838,930012,10,21,9
564,1839,930013,10,7,9
565,1840,930014,10,21,9
566,1841,930015,10,21,9
567,1842,930016,10,21,9
568,1843,950101,10,21,9
569,1844,950102,10,21,9
570,1845,950203,10,21,9
571,1846,950204,10,21,9
572,1847,950205,10,21,9
573,1848,950306,10,21,9
574,1849,950407,10,21,9
575,1850,950408,10,21,9
576,6100,2990101,10,1,33
577,6101,2990102,10,1,33
578,6102,2990108,10,1,33
579,6103,2990109,10,1,33
580,6104,2990203,10,1,33
581,6105,2990204,10,1,33
582,6106,2990205,10,1,33
583,6107,2990307,10,1,33
584,6108,2990410,10,1,33
585,26,50001,0,6,15
586,27,50002,0,6,15
587,28,50003,0,6,15
588,29,50004,0,6,15
589,30,50005,0,6,15
590,31,50006,0,6,15
591,32,50007,0,6,15
592,33,50008A,0,6,15
593,34,50008B,0,6,15
594,35,50009,0,6,15
595,36,50010A,0,6,15
596,37,50010B,0,6,15
597,38,50011,0,6,15
598,39,50012,0,6,15
599,40,50013,0,6,15
600,41,50014,0,6,15
601,42,50015,0,6,15
602,43,50016,0,6,15
603,44,50017,0,6,15
604,45,50018,0,6,15
605,46,50019,0,6,15
606,47,50020,0,6,15
607,48,50021,0,6,15
608,49,50022,0,6,15
609,50,50023,0,6,15
610,51,50024,0,6,15
611,52,50025,0,6,15
612,53,50026,0,6,15
613,54,50027,0,6,25
614,55,50028,0,6,15
615,56,50029,0,6,15
616,57,50030,0,6,15
617,58,50031,0,6,15
618,59,50032,0,6,15
619,60,50033,0,6,15
620,61,50034,0,6,15
621,62,50035,0,6,15
622,63,50036,0,6,15
623,64,50037,0,6,15
624,65,50038,0,6,15
625,66,50039,0,6,15
626,67,50040,0,6,15
627,68,5011B,0,6,15
628,69,5017B,0,6,15
629,8551,4590009,0,29,15
630,8552,4590010,0,20,15
631,8553,4590011,0,29,15
632,8559,4590017,0,20,15
633,8560,4590018,0,20,15
634,8561,4590019,0,20,15
635,6642,3470012,0,20,15
636,6643,3470013,0,20,15
637,6644,3470014,0,6,15
638,6645,3470015,0,6,15
639,6646,3470016,0,6,15
640,6647,3470017,0,6,15
641,6648,3470021,0,20,15
642,6649,3470022,0,6,15
643,6650,3470023,0,6,15
644,6651,3470024,0,6,15
645,6652,3470025,0,6,15
646,6653,3470026,0,6,15
647,6654,3470027,0,6,15
648,6655,3470030,0,6,15
649,6656,3470031,0,6,15
650,6657,3470032,0,6,15
651,6658,3470033,0,6,15
652,6659,3470034,0,6,15
653,6660,3470041,0,6,15
654,6661,3470042,0,6,15
655,6662,3470043,0,6,15
656,6663,3470044,0,6,15
657,6664,3470045,0,6,15
658,6665,3470046,0,6,15
659,6666,3470047,0,6,15
660,6930,3650001,0,20,15
661,6931,3650002,0,20,15
662,6932,3650003,0,20,15
663,6933,3650005,0,20,15
664,6934,3650007,0,20,15
665,6935,3650008,0,20,15
666,6936,3650009,0,6,15
667,6937,3650010,0,6,15
668,6938,3650012,0,6,15
669,6939,3650013,0,6,15
670,6940,3650014,0,6,15
671,6941,3650018,0,20,15
672,6942,3650019,0,6,15
673,6943,3650020,0,20,15
674,6944,3650022,0,20,15
675,6945,3650026,0,6,15
676,6946,3650027,0,20,15
677,6947,3650028,0,6,15
678,6948,3650029,0,6,15
679,9044,49902-1,0,29,20
680,9047,49903-1,0,29,20
681,9048,49903-2,0,29,20
682,9049,49903-3,0,29,20
683,9050,49904-1,0,29,20
684,9051,49904-2,0,20,20
685,4995,2030001,0,20,15
686,4996,2030002,0,20,15
687,4997,2030003,0,20,15
688,4998,2030004,0,20,15
689,4999,2030005,0,20,15
690,5000,2030006,0,20,15
691,5001,2030007,0,20,15
692,5002,2030008,0,20,15
693,5003,2030009,0,20,15
694,5004,2030010,0,20,15
695,5005,2030011,0,20,15
696,5006,2030012,0,20,15
697,5007,2030013,0,20,15
698,5008,2030014,0,20,15
699,5009,2030015,0,20,15
700,5010,2030016,0,20,15
701,5011,2030017,0,20,15
702,5012,2030018,0,20,15
703,5013,2030019,0,20,15
704,5014,2030020,0,20,15
705,5015,2030021,0,20,15
706,5016,2030022,0,20,15
707,5017,2030023,0,20,15
708,5018,2030024,0,20,15
709,5019,2030025,0,20,15
710,5020,2030026,0,20,15
711,7196,4010111,0,20,15
712,7197,4010112,0,20,15
713,7198,4010113,0,20,15
714,7199,4010114,0,20,15
715,7200,4010201,0,20,15
716,7201,4010212,0,20,15
717,7202,4010213,0,20,15
718,7203,4010214,0,20,15
719,7204,4010215,0,20,15
720,7205,4010302,0,20,15
721,7206,4010303,0,20,15
722,7207,4010314A,0,20,15
723,7208,4010314B,0,20,15
724,7209,4010315,0,20,15
725,7210,4010316,0,20,15
726,7211,4010317,0,6,15
727,7212,4010318,0,20,15
728,7213,4010319,0,20,15
729,7214,4010404,0,20,15
730,7215,4010405,0,20,15
731,7216,4010416,0,20,15
732,7217,4010417,0,20,15
733,7218,4010418,0,20,15
734,7219,4030001,0,6,15
735,7220,4030002,0,6,25
736,7221,4030003,0,6,15
737,7222,4030004,0,6,15
738,7223,4030005,0,6,15
739,7224,4030006,0,6,15
740,7225,4030007,0,6,15
741,7226,4030008,0,6,15
742,7227,4050001,0,6,15
743,7228,4050002,0,6,15
744,7229,4050003,0,6,15
745,7230,4050004,0,6,15
746,7231,4050005,0,6,15
747,7232,4050006,0,6,15
748,7233,4050007,0,6,15
749,7234,4050008,0,6,15
750,7235,4050009,0,6,15
751,7236,4050010,0,6,15
752,7237,4050011,0,6,15
753,7304,4190002,0,6,15
754,7305,4190003,0,6,15
755,7306,4190004,0,6,15
756,7307,4190005,0,6,15
757,7308,4190006,0,6,15
758,7309,4190007,0,6,15
759,7310,4190008,0,6,15
760,7311,419001N,0,6,15
761,7312,419001S,0,6,15
762,7313,419001W,0,6,15
763,7314,419009N,0,6,15
764,7315,419009S,0,6,15
765,7316,41901SE,0,6,15
766,7317,41901SW,0,6,15
767,7325,4230001,0,20,20
768,7326,4230002,0,20,20
769,7327,4230003,0,20,20
770,7328,4230004,0,20,20
771,7329,4230005,0,29,20
772,7330,4230006,0,29,20
773,7331,4230007,0,20,20
774,7332,4230008,0,20,20
775,7333,4230009,0,29,20
776,7334,4230010,0,20,15
777,7335,4230011,0,29,20
778,7336,4230012,0,29,20
779,7337,4230013,0,29,20
780,7338,4230014,0,29,20
781,7339,4230015,0,29,20
782,7340,4230016,0,29,20
783,7341,4230017,0,29,21
784,7342,4230018,0,20,20
785,7343,4230019,0,29,20
786,7344,4230020,0,20,20
787,7345,4230021,0,20,20
788,7346,4230022,0,20,20
789,7347,4230023,0,20,20
790,7348,4230025,0,20,20
791,7349,4230026,0,20,15
792,7350,4230027,0,20,20
793,7351,4230028,0,20,15
794,7352,4230029,0,20,15
795,7353,4230030,0,20,15
796,7354,4230031,0,20,15
797,7355,4230032,0,20,15
798,7356,4230034,0,29,20
799,7357,4230035,0,20,20
800,7358,4230036,0,20,20
801,7359,4230037,0,20,15
802,7360,4230038,0,20,20
803,7361,4230039,0,29,20
804,7362,4230040,0,20,15
805,7363,4230041,0,20,15
806,7364,4230042,0,20,20
807,7365,4230043,0,20,20
808,7366,4230044,0,29,20
809,7367,4230045,0,20,15
810,7368,4230046,0,20,15
811,7369,4230047,0,29,20
812,7370,4230048,0,29,20
813,7371,4230049,0,29,20
814,7372,4230050,0,20,20
815,7373,4230052,0,29,20
816,7374,4230054,0,20,20
817,7375,4230055,0,20,15
818,7376,4230056,0,20,20
819,7377,4230058,0,20,15
820,7378,4230059,0,20,20
821,7379,4230060,0,20,20
822,7380,4230061,0,20,20
823,7381,4230063,0,20,15
824,7382,4230064,0,20,20
825,7383,4230065,0,29,20
826,7384,4230066,0,29,20
827,7385,4230070,0,20,20
828,7386,4230071,0,20,20
829,7387,4230072,0,20,20
830,7388,4230073,0,20,20
831,7389,4230074,0,20,20
832,7390,4230075,0,20,15
833,7391,4230076,0,20,20
834,7392,4230077,0,20,20
835,7393,4230078,0,20,20
836,7394,4230079,0,20,15
837,7395,4230080,0,20,20
838,7396,4230081,0,20,20
839,7397,4230082,0,20,20
840,3781,1830001,0,20,15
841,3782,1830002,0,20,15
842,3783,1830003,0,20,15
843,3784,1830004,0,20,15
844,3785,1830005,0,20,15
845,3786,1830006,0,20,15
846,3787,1830007,0,20,15
847,3788,1830008,0,20,15
848,3789,1830009,0,20,15
849,3790,1830010,0,20,15
850,3791,1830011,0,20,15
851,3792,1830012,0,20,15
852,3793,1830013,0,20,15
853,3794,1830014,0,20,15
854,3795,1830015,0,20,15
855,3796,1830016,0,20,15
856,3797,1830017,0,20,15
857,3798,1830018,0,20,15
858,3799,1830019,0,20,15
859,3800,1830020,0,20,15
860,3801,1830021,0,20,15
861,70,70001,26,24,19
862,71,70002,26,24,19
863,72,70003,26,24,19
864,73,70004,26,24,19
865,74,7001A,26,24,19
866,75,7004A,26,24,19
867,154,211003,26,11,0
868,158,212007,26,27,12
869,159,212008,26,11,12
870,163,213012,26,27,0
871,164,213013,26,27,0
872,165,213014,26,27,0
873,166,213015,26,27,0
